OUTDOOR CITY
15 20
1296/1 		1425/1		1425/1 		1425/598/1 	1425/599/1	1425/600/1	1425/601/1	1425/1 		1425/1		1425/1 		1425/1 		1425/1		1425/1 		1425/1	     1425/1 	1425/1		1425/1 		1425/1 		1425/1		1297/1
1340/1 		782/0		783/0 		782/641/1 	782/642/1	782/643/1	782/644/1	782/0 		782/0		782/0 		782/694/0 	782/0		782/809/1 	782/810/1	 782/811/1 	782/812/1	782/813/1 	782/814/1 	782/815/1	1340/1
1340/1 		782/1784/0 	782/1785/0 	782/684/1 	782/685/1 	782/686/1	782/687/1	782/1784/0 	782/1785/0	782/736/1 	782/737/1 	782/738/1	782/895/1 	896/1	     897/1 		898/1		899/1 		900/1 		782/901/1	1340/1
1340/1 		782/1827/0	782/1828/0 	782/727/1 	782/728/1 	782/729/1 	782/730/1	782/1827/0 	782/1828/0	782/865/1 	782/866/1 	782/867/1	782/938/1 	939/1	     940/1 		941/1		942/1 		943/1 		782/944/1	1340/1
1340/1 		782/1870/0	782/1871/0	782/770/1 	782/771/1	782/772/1 	782/773/1	782/1870/0 	782/1871/0	782/908/1 	782/909/1 	782/910/1	782/981/1 	782/982/1	 782/983/1 	782/984/1	782/985/1 	782/986/1 	782/987/1	1340/1
1340/1 		645/0 		646/0 		646/0 		646/0 		646/0 		646/0		646/0 		646/0		646/0 		646/0 		646/0		646/0 		646/0		 646/0 		646/0		646/0 		646/0 		647/0		1340/1
1340/1 		688/0 		778/0 		732/0 		732/0 		732/0 		732/0		732/0 		732/0		777/0 		778/0 		732/0		732/0 		732/0    	 732/0 		732/0		732/0 		777/0 		690/0		1340/1
1340/1 		688/0		690/0 		782/0 		782/0		782/0 		782/0		782/0 		782/0		688/0 		690/0 		782/1231/1	782/1232/1 	782/1233/1	 782/1234/1 782/1235/1	782/1236/1 	688/0 		690/0		1340/1
1340/1 		688/0		690/0 		782/1540/1 	782/1541/1	782/1542/1	782/1543/1	782/1544/1 	782/0		688/0 		690/0 		782/1274/1	1275/1 		1276/1	     1277/1 	1278/1		782/1279/1 	688/0 		690/0		1340/1
1340/1 		688/0 		690/0 		782/1583/1 	1584/1 		1585/1		1586/1		782/1587/1 	782/0		688/0 		690/0 		782/1317/1	1318/1 		1319/1	     1320/1 	1321/1		782/1322/1 	688/0 		690/0		1340/1
1340/1 		688/0		690/0 		782/1626/1 	1627/1 		1628/1 		1629/1		782/1630/1 	782/1299/0	688/0 		690/0 		782/1360/1	1361/1 		1362/1	     1363/1 	1364/1		782/1365/0 	688/0 		690/0		1340/1
1340/1 		688/0		690/0 		782/1669/1 	782/1670/1	782/1671/1 	782/1672/1	782/1673/1 	782/1342/1	688/0 		690/0 		782/1403/1	782/1404/1 	782/1405/1   782/1406/1 782/1407/1	782/1408/1 	688/0 		690/0		1340/1
1340/1 		688/0 		735/0 		646/0 		646/0 		646/0 		646/0		646/0 		646/0		734/0 		735/0 		646/0		646/0 		646/0	     646/0 		646/0		646/0 		734/0 		690/0		1340/1
1340/1 		731/0 		732/0 		732/0 		732/0 		732/0 		732/0		732/0 		732/0		777/0 		778/0 		732/0		732/0 		732/0	     732/0 		732/0		732/0 		732/0 		733/0		1340/1
1382/1 		1425/1 		1425/1 		1425/1 		1425/1 		1425/1 		1425/1		1425/1 		1426/1		688/0 		690/0 		1424/1		1425/1 		1425/1		 1425/1 	1425/1		1425/1 		1425/1 		1425/1		1383/1

6
TELEPORT 11 13 COMBINATORIUM 11 9
TELEPORT 14 9 OUTSIDE 1 9
TELEPORT 14 10 OUTSIDE 1 10
TELEPORT 11 5 HOME 11 10
TELEPORT 4 15 STADIUM 11 9
TELEPORT 4 4 STORE 12 9


INDOOR COMBINATORIUM
15 20
b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b0/1		b1/1		b2/1		b2/1		b2/1		b2/1		b2/1		b2/1		b2/1		b2/1		b2/1		b2/1		b1/1		b0/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b15/1		b16/1		b17/1		b18/1		b19/1		b21/1		b21/1		b21/1		b21/1		b24/1		b25/1		b26/1		b27/1		b29/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b120/1		b31/0		b32/1		b33/1		b34/1		b35/1		b35/1		b35/1		b35/1		b39/1		b40/1		b41/1		b42/0		b104/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b135/1		b57/0		b47/1		b48/1		b49/1		b57/0		b79/1		b80/1		b57/0		b47/1		b48/1		b49/1		b57/0		b119/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b60/0		b57/0		b57/0		b57/0		b57/0		b57/0		b94/0		b95/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b60/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b104/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b60/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b119/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b120/1		b121/0		b121/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b57/0		b121/1		b121/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b135/1		b136/1		b136/1		b57/0		b57/0		b141/0		b142/0		b143/0		b57/0		b57/0		b57/0		b57/0		b136/1		b136/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b156/1		b157/1		b158/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		
b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		b150/1		

2
TELEPORT 12 9 CITY 12 13
COMBINATORIUM 6 9

OUTDOOR OUTSIDE
15 20
827/779/1	827/780/1	827/781/1	827/0		827/0		827/0		827/0		827/0		827/0		731/0		733/0		827/0		827/0		827/0		827/0		827/0		827/0		827/779/1	827/780/1	827/781/1	
827/822/1	827/823/1	827/824/1	827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/603/1	827/603/1	827/0		827/822/1	827/823/1	827/824/1
827/779/1	827/780/1	827/781/1	827/0		827/0		827/0		827/603/1	827/0		827/0		827/0		827/0		827/603/1	827/0		827/0		827/0		827/0		827/603/1	827/779/1	827/780/1	827/781/1	
827/822/1	827/823/1	827/824/1	827/0		827/0		827/0		827/0		827/0		827/0		827/603/1	827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/822/1	827/823/1	827/824/1
827/779/1	827/780/1	827/781/1	827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/0		827/603/1	827/0		827/0		827/0		827/779/1	827/780/1	827/781/1	
